product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
96bd76ec8810374ed1b65e291975717f,esporte_lazer,46.0,250.0,1.0,154.0,18.0,9.0,15.0
cef67bcfe19066a932b7673e239eb23d,bebes,27.0,261.0,1.0,371.0,26.0,4.0,26.0
14aa47b7fe5c25522b47b4b29c98dcb9,cama_mesa_banho,54.0,630.0,1.0,1100.0,16.0,10.0,16.0
03b63c5fc16691530586ae020c345514,bebes,49.0,728.0,4.0,7150.0,50.0,19.0,45.0
cf55509ea8edaaac1d28fdb16e48fc22,instrumentos_musicais,43.0,1827.0,3.0,250.0,17.0,7.0,17.0
eb31436580a610f202c859463d8c7415,construcao_ferramentas_seguranca,59.0,1602.0,4.0,200.0,17.0,7.0,17.0
a0736b92e52f6cead290e30b578413b6,moveis_decoracao,56.0,296.0,2.0,1700.0,100.0,7.0,15.0
f53103a77d9cf245e579ea37e5ec51f0,cama_mesa_banho,52.0,206.0,1.0,500.0,16.0,10.0,16.0
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,56.0,209.0,1.0,1800.0,40.0,10.0,30.0
8ba4f2a4ae695d26e5626c1bf710975e,utilidades_domesticas,52.0,968.0,1.0,900.0,50.0,5.0,50.0
c78b767da00efb70c1bcccab87c28cd5,informatica_acessorios,35.0,1101.0,2.0,300.0,42.0,2.0,30.0
051b9ff13dd55c0a6655a15ff296f80d,esporte_lazer,50.0,529.0,2.0,3600.0,62.0,23.0,23.0
47859fca9dd7485cbd93c3e8993bb74f,cama_mesa_banho,45.0,206.0,1.0,650.0,16.0,10.0,16.0
1eba879220bd0981a0e2fbab499ed4e1,moveis_escritorio,57.0,476.0,1.0,8950.0,52.0,51.0,17.0
750cf819d127191920eda79a4b6fb479,eletronicos,31.0,806.0,1.0,263.0,18.0,12.0,16.0
5f504b3a1c75b73d6151be81eb05bdc9,cool_stuff,38.0,1176.0,3.0,15350.0,47.0,40.0,47.0
5eaa343860dc445b3fd43d1b682809fd,esporte_lazer,53.0,3218.0,5.0,4800.0,60.0,30.0,15.0
3fcd8dfe610c62edfb51de2630cd9ef4,bebes,50.0,509.0,4.0,5700.0,41.0,17.0,49.0
dc21247da0290904ffbbcd5953c76f95,papelaria,41.0,92.0,1.0,100.0,16.0,5.0,16.0
bfc1d1c62b1f7f401d8d9dda962bb870,esporte_lazer,50.0,255.0,2.0,950.0,60.0,15.0,15.0
e586ebb6022265ae1eea38f46ffe3ead,beleza_saude,40.0,1469.0,3.0,1050.0,18.0,21.0,27.0
278b3c6462e86b4556b99989513ddf73,eletroportateis,58.0,587.0,3.0,350.0,20.0,20.0,20.0
0d009643171aee696f4733340bc2fdd0,perfumaria,52.0,150.0,1.0,422.0,21.0,16.0,18.0
a3c95dc653d9a279b160bc0179385ed1,cama_mesa_banho,39.0,1146.0,1.0,1750.0,30.0,18.0,30.0
0992c6cba95a13bfa68ea7d5e22d478b,ferramentas_jardim,42.0,671.0,1.0,3850.0,29.0,12.0,24.0
3a6a0247ced9dcb444b46caafdcdd368,beleza_saude,60.0,2497.0,1.0,3600.0,20.0,20.0,20.0
adf591c625cb265c12bc6749d3a2f757,beleza_saude,60.0,1146.0,6.0,150.0,20.0,24.0,33.0
